Sample no,Year,barangay,sex,age,disease,cases
647,2017,bagong silang,male,10-14,K04,0
648,2017,bagong silang,female,10-14,K04,1
649,2017,bagong silang,male,15-19,K04,2
650,2017,bagong silang,female,15-19,K04,1
651,2017,bagong silang,male,20-24,K04,0
652,2017,bagong silang,female,20-24,K04,0
653,2017,bagong silang,male,25-29,K04,1
654,2017,bagong silang,female,25-29,K04,9
655,2017,bagong silang,male,30-34,K04,1
656,2017,bagong silang,female,30-34,K04,5
657,2017,bagong silang,male,35-39,K04,1
658,2017,bagong silang,female,35-39,K04,3
659,2017,bagong silang,male,40-44,K04,2
660,2017,bagong silang,female,40-44,K04,1
661,2017,bagong silang,male,45-49,K04,2
662,2017,bagong silang,female,45-49,K04,0
663,2017,bagong silang,male,50-54,K04,0
664,2017,bagong silang,female,50-54,K04,0
665,2017,bagong silang,male,55-59,K04,0
666,2017,bagong silang,female,55-59,K04,1
667,2017,bagong silang,male,60-64,K04,0
668,2017,bagong silang,female,60-64,K04,1
669,2017,bagong silang,male,65-69,K04,0
670,2017,bagong silang,female,65-69,K04,0
671,2017,bagong silang,male,70 Above,K04,0
672,2017,bagong silang,female,70 Above,K04,0
673,2017,bagong silang,male,under 1,J45,0
674,2017,bagong silang,female,under 1,J45,1
675,2017,bagong silang,male,1-4,J45,2
676,2017,bagong silang,female,1-4,J45,4
677,2017,bagong silang,male,5-9,J45,6
678,2017,bagong silang,female,5-9,J45,6
679,2017,bagong silang,male,10-14,J45,1
680,2017,bagong silang,female,10-14,J45,3
681,2017,bagong silang,male,15-19,J45,0
682,2017,bagong silang,female,15-19,J45,0
683,2017,bagong silang,male,20-24,J45,0
684,2017,bagong silang,female,20-24,J45,0
685,2017,bagong silang,male,25-29,J45,0
686,2017,bagong silang,female,25-29,J45,0
687,2017,bagong silang,male,30-34,J45,0
688,2017,bagong silang,female,30-34,J45,0
689,2017,bagong silang,male,35-39,J45,0
690,2017,bagong silang,female,35-39,J45,0
691,2017,bagong silang,male,40-44,J45,0
692,2017,bagong silang,female,40-44,J45,0
693,2017,bagong silang,male,45-49,J45,0
694,2017,bagong silang,female,45-49,J45,0
695,2017,bagong silang,male,50-54,J45,0
696,2017,bagong silang,female,50-54,J45,1
697,2017,bagong silang,male,55-59,J45,0
698,2017,bagong silang,female,55-59,J45,0
699,2017,bagong silang,male,60-64,J45,0
700,2017,bagong silang,female,60-64,J45,1
701,2017,bagong silang,male,65-69,J45,0
702,2017,bagong silang,female,65-69,J45,1
703,2017,bagong silang,male,70 Above,J45,0
704,2017,bagong silang,female,70 Above,J45,0
705,2017,bagong silang,male,under 1,L01,0
706,2017,bagong silang,female,under 1,L01,0
